rental_id,user_id,age,gender,start_time,end_time,start_station,end_station,duration_minutes,price
1,1001,25,M,2025-11-01 08:15:00,2025-11-01 08:45:00,Station A,Station D,30,3.5
2,1002,32,F,2025-11-01 09:00:00,2025-11-01 09:20:00,Station B,Station E,20,2.5
3,1003,28,M,2025-11-01 10:30:00,2025-11-01 11:05:00,Station C,Station F,35,4.0
4,1004,22,F,2025-11-01 11:15:00,2025-11-01 11:50:00,Station D,Station A,35,4.0
5,1005,45,M,2025-11-01 12:05:00,2025-11-01 12:40:00,Station E,Station B,35,4.0
6,1006,37,F,2025-11-01 13:00:00,2025-11-01 13:30:00,Station F,Station C,30,3.5
7,1007,29,M,2025-11-01 14:10:00,2025-11-01 14:50:00,Station A,Station B,40,4.5
8,1008,33,F,2025-11-01 15:25:00,2025-11-01 15:55:00,Station B,Station D,30,3.5
9,1009,26,M,2025-11-01 16:00:00,2025-11-01 16:25:00,Station C,Station F,25,3.0
10,1010,41,F,2025-11-01 17:15:00,2025-11-01 17:50:00,Station D,Station E,35,4.0
